data_set_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-11610.5981315395,2094.2583349622,-478.5913255638,463.5257980302,1033.9277787938,1113.2044343549,73.8646541236,-515.2138921955,-290.4018960216,449.1538328534,56.8990229542,17.2235141314,118.7073122638,-2.1007568134,81.1950001515,-6.7833960966,26.8617246369,4.9372742857,-3.6110862104,-12.5752123609,129493,3
1,-7325.5837944071,-1999.0160567055,2151.5479894028,-304.8281803177,1124.2700219596,-265.4122447455,-177.7291411976,-514.0919037226,495.9895068421,205.5195933619,-115.8019008572,25.7990219606,15.9614191359,39.6081537046,51.3166273712,-9.5426336026,-27.8683170506,-23.81113414,-27.206968255,-0.7135421272,111507761,5
2,-12563.1510322912,4391.6863762558,-527.8226778725,804.2045768088,1233.7453673075,1182.6065506122,-151.5251871248,2.9192973865,-318.1825634737,161.5637648442,228.8804502595,142.6818939457,-39.6913108166,137.601567332,61.7908970968,-74.7546093142,6.2122161086,11.0431653378,-2.2693189434,-8.2312907346,13028492,5
3,-11656.826203492,5020.1468500428,-1202.8355361606,-1261.3807680624,1269.5599499795,787.1603192268,-785.5304665049,246.0561167467,-41.4281733352,-233.3449169809,378.8134452678,78.2147837391,91.1658028569,64.5031240522,74.7819345051,-92.5516967178,19.3482481063,12.4227517153,-8.9823470536,14.2163479928,294063,3
4,-11132.7888140002,5249.0809202437,1365.464103345,6609.2939007924,-2460.7717457243,3444.6053136289,922.9940334608,441.9134143709,201.9326639058,-74.8251364187,453.0989432935,-121.1723435722,106.2317078582,143.7875920979,53.1020266867,-90.9866944979,-7.8671995394,37.6830831073,1.7412118186,87.2965813174,2715515,5
5,-8894.0754613668,1721.5913417249,595.8210202652,-863.6279011926,1675.449187007,1160.0061017327,-108.1794809037,740.456882881,-51.7112223124,-361.7373329323,338.3009719176,-445.8616617858,-107.6572999635,-221.7469272071,-63.1102552193,2.2091926889,-26.6969789544,-20.0249985908,-20.9114679077,-4.1969038581,91328466,5
6,-13649.1783828919,-653.3884527724,-264.0062755785,-310.3826081552,2344.371330467,1944.1831740817,-583.9563522274,48.4098699296,390.396700566,-8.7792874521,158.3593356191,19.4598603007,89.6943567582,127.4163686714,-2.670825488,-44.9316950741,-15.0063472926,-3.954216124,9.5115193242,-11.4367356822,477165,4
7,5015.3764325029,1119.2441691924,-484.7440244296,-1129.1860353332,395.0340454078,1690.74261782,-87.7146430776,-64.4053374165,-29.825954651,318.0852451694,145.2976048613,104.4699038272,43.6314547369,81.7884520225,25.7094895367,48.6032794635,-30.8941375061,-41.6380706095,-6.7171656983,4.9206967445,624746,4
8,10486.568627832,2680.5532242808,-5928.3018406533,181.368020851,1678.0674525026,2535.1936535286,-682.8402091729,233.925506151,269.506022425,22.3431738511,345.4469402486,75.3367940933,-22.0680503146,7.0571717225,-36.8831061391,-13.1768763741,18.5453187163,-25.9401458853,-7.4295591273,5.8665919843,441772,4
9,-10127.6873457035,533.7858372767,3.748247961,-349.3393146911,828.2705375047,-480.5253997898,614.626820269,99.075522432,595.4389632257,91.2170863929,22.6778500882,-139.0875997351,41.6604297471,40.5892628465,-2.2042860649,29.4703169263,10.7004758181,-11.9790218611,6.8957231391,-16.8082826198,20599,2
10,693.2917242899,-3769.2388460154,2159.893814664,-1192.628449249,-55.8959501401,17.2060138821,194.0349095146,361.5365699692,-6.1256905295,-92.2495071211,-32.6562903907,-24.5855833558,26.0931299274,-13.3735664836,34.7965217407,-66.8432324427,10.4926440439,-12.8928976442,22.2916998787,2.53662484,4159775,5
